N,Lote,Instalação,Zona,Bairro,Latitude,Longitude,Local,Praça,Endereço,Estado,Cidade,País,Country,Capacidade (em usuários),Google Maps,Controle de Qualidade
24,LOTE2,14/10/2014,ZONA LESTE,Mooca,-23.569114,-46.567071,Água Rasa,PRAÇA SÃO LUIS DO CURU,Rua Capitão Lorena  84,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/DjE94,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b3590ff2
39,LOTE2,14/10/2014,ZONA LESTE,Itaim Paulista,-23.5000861,-46.3759471,Itaim Paulista,PARQUE SANTA AMÉLIA,Rua Rio Contagem  72,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/p62jN,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358ee1a
33,LOTE2,14/10/2014,ZONA LESTE,Cidade Tiradentes,-23.6003951,-46.3998072,Cidade Tiradentes,PRAÇA DO 65 / POMBAS URBANAS,Avenida dos Metalúrgicos  2249,SP,São Paulo,Brasil,Brazil,150,http://goo.gl/maps/ZxYvQ,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358ee40
103,LOTE0,27/10/2014,ZONA SUL,Capela do Socorro,-23.720345,-46.689331,Grajaú,PRAÇA JOÃO BEIÇOLA,Av. Lourenço Cabreira  154 - Cidade Dutra São Paulo  04812-010,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/DXnPq,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D68B37C9
29,LOTE2,27/10/2014,ZONA LESTE,Mooca,-23.5450799,-46.573661,Tatuapé,PRAÇA SILVIO ROMERO,Praça Silvio Romero,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/VZBah,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358ee76
28,LOTE2,29/10/2014,ZONA LESTE,Mooca,-23.5260494,-46.62174,Pari,PRAÇA KANTUTA,Praça Kantuta,SP,São Paulo,Brasil,Brazil,125,http://goo.gl/maps/yKUZQ,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358ed10
112,LOTE0,11/11/2014,ZONA SUL,M'Boi Mirim,-23.722375,-46.785254,Jardim Ângela,POLO CULTURAL DO JARDIM ÂNGELA,Estrada M'Boi Mirim  5780,SP,São Paulo,Brasil,Brazil,50,https://goo.gl/maps/81N4b,http://simet-publico.ceptro.br/simet-box-history/indexsimetbox.html?idCookie=0418D68FEE09
35,LOTE2,12/11/2014,ZONA LESTE,Ermelino Matarazzo,-23.5313033,-46.5021446,Jardim Helena,PRAÇA DA ESTAÇÃO VILA MARA,Praça da Estação Vila Mara,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/xbjbn,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358ff6e
16,LOTE1,12/11/2014,CENTRO,Sé,-23.549606,-46.636063,Largo Sâo Francisco,LARGO SÃO FRANCISCO,Largo São Francisco,SP,São Paulo,Brasil,Brazil,100,https://www.google.com.br/maps/place/Largo+S%C3%A3o+Francisco+-+S%C3%A9 +S%C3%A3o+Paulo+-+SP +01005-010/@-23.549606 -46.6371027 19z/data=!4m2!3m1!1s0x94ce59aca8713b2f:0xe21281543f5468b,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358dd46
37,LOTE2,12/11/2014,ZONA LESTE,Guaianases,-23.5437824,-46.4104721,Guaianases,PRAÇA JESUS TEIXEIRA DA COSTA,Rua Caranaíba  148 - Guaianases  São Paulo - SP  Brasil (PS: a praça na verdade são vários espaços públicos entre essas ruas),SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/W6Ums,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f1ba
104,LOTE0,13/11/2014,ZONA SUL,Capela do Socorro,-23.696913,-46.715033,Socorro,PRAIA DO SOL,Av. Atlântica 3456,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/0IdfK,http://simet-publico.ceptro.br/simet-box-history/indexsimetbox.html?idCookie=0418D6954E4C
36,LOTE2,14/11/2014,ZONA LESTE,Ermelino Matarazzo,-23.507780,-46.489798,Ponte Rasa,PRAÇA GIOVANI FANI,Praça Giovanni Fiani  Vila Ponte Rasa  São Paulo - SP  Brasil,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/JfMFj,http://simet-publico.ceptro.br/simet-box-history/indexsimetbox.html?idCookie=6466b358ee62
31,LOTE2,18/11/2014,ZONA LESTE,Aricanduva/Formosa/Carrão,-23.5484053,-46.5371547,Carrão,PRAÇA VICENTE FALCETTA,Praça Vicente Falcetta,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/bh9t2,http://simet-publico.ceptro.br/simet-box-history/indexsimetbox.html?idCookie=6466b3590296
57,LOTE2,18/11/2014,ZONA LESTE,Vila Prudente,-23.5815457,-46.5853654,São Lucas,PRAÇA PADRE DAMIÃO,Praça Padre Damião - Vila Prudente?  São Paulo - SP  03126-050,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/l0MuT,http://simet-publico.ceptro.br/simet-box-history/indexsimetbox.html?idCookie=6466b358ee10
34,LOTE2,18/11/2014,ZONA LESTE,Cidade Tiradentes,-23.583103,-46.409183,Cidade Tiradentes,PRAÇA DO TERMINAL METALÚRGICOS,Avenida dos Metalúrgicos  sn  Cidade Tiradentes  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,150,http://goo.gl/maps/BFZKS,http://simet-publico.ceptro.br/simet-box-history/indexsimetbox.html?idCookie=6466b358ea6a
90,LOTE4,19/11/2014,ZONA OESTE,Pinheiros,-23.5541153,-46.7028779,Alto de Pinheiros,PRAÇA DO PÔR-DO-SOL,Av. Diógenes Ribeiro de Lima  110 - Alto de Pinheiros São Paulo  05458-000,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/SsBvy,http://simet-publico.ceptro.br/simet-box-history/indexsimetbox.html?idCookie=0418D6954FB8
42,LOTE2,08/12/2014,ZONA LESTE,Itaquera,-23.5357169,-46.4679491,Cidade Líder,PRAÇA PROFESSORAS (NA AV. DAS ALAMANDAS),Avenida das Alamandas  12  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/foQe2,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e03c
50,LOTE2,09/12/2014,ZONA LESTE,Penha,-23.5366955,-46.5258377,Vila Matilde,PRAÇA DA CONQUISTA (PRAÇA VEREADOR JOÃO APARECIDO DE PAULA),Rua Dona Matilde  479  Vila Matilde  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/I0GVM,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f39a
64,LOTE3,09/12/2014,ZONA NORTE,Freguesia/Brasilândia,-23.5017066,-46.6985106,Freguesia do Ó,LARGO DA MATRIZ,Largo da Matriz de Nossa Senhora do Ó  Freguesia do Ó  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,125,http://goo.gl/maps/mffsZ,http://simet-publico.ceptro.br/simet-box-history/indexsimetbox.html?idCookie=10feed391bd8
10,LOTE1,09/12/2014,CENTRO,Sé,-23.5414878,-46.6469944,República,LARGO DO AROUCHE,Largo do Arouche,SP,São Paulo,Brasil,Brazil,250,http://goo.gl/maps/OzALP,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e55e
17,LOTE1,12/12/2014,CENTRO,Sé,-23.538948,-46.6496885,Santa Cecília,LARGO SANTA CECILIA,Largo Santa Cecília,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/NTyDy,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f60c
43,LOTE2,12/12/2014,ZONA LESTE,Itaquera,-23.5375969,-46.454965,Itaquera,PRAÇA NA RUA GREGÓRIO RAMALHO,Rua Gregório Ramalho  239  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/vcbJy,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358d9f6
97,LOTE0,12/12/2014,ZONA SUL,Campo Limpo,-23.640511,-46.749340,Campo Limpo,PRAÇA LUISA P DOS SANTOS (PRAÇA ARARIBA),Praça Luísa Pêra dos Santos - Parque Arariba  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/9xJPe,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D68902BB
121,LOTE1,12/12/2014,ZONA SUL,Ipiranga,-23.586153,-46.609621,Ipiranga,PARQUE DA INDEPENDÊNCIA,Av. Nazareth  s/nº - Ipiranga,SP,São Paulo,Brasil,Brazil,250,http://goo.gl/maps/V8X8l,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f512
71,LOTE3,15/12/2014,ZONA NORTE,Pirituba,-23.475522,-46.756741,São Domingos,PRAÇA 14º ÁREA / RUA CALDAS NOVAS / RUA DOZE,Rua Caldas Novas  93  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/DLmGy,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D68FED79
106,LOTE0,16/12/2014,ZONA SUL,Cidade Ademar,-23.695503,-46.666549,Pedreira,PRAÇA ALEXANDRE FRANCISCO REBOUÇAS,Praça Alexandre Francisco Rebouças  Jardim Pedreira  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,50,https://goo.gl/maps/VdOzz,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D68FF1E1
87,LOTE4,16/12/2014,ZONA OESTE,Butantã,-23.5884629,-46.7558639,Raposo Tavares,PARQUE RAPOSO TAVARES,Parque Raposo Tavares - São Paulo - SP  Brasil ?,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/UuzNv,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6954E02
88,LOTE4,16/12/2014,ZONA OESTE,Butantã,-23.5736076,-46.7607585,Rio Pequeno,PRAÇA WILSON MOREIRA DA COSTA,R. Mílton Soares  66 - Rio Pequeno São Paulo  05382-010,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/Ze0Se,http://simet-publico.ceptro.br/simet-box-history/indexsimetbox.html?idCookie=0418D6954F4F
﻿1,LOTE1,19/12/2014,CENTRO,Sé,-23.5616596,-46.6578237,Bela Vista,MASP,R. Peixoto Gomide  949,SP,São Paulo,Brasil,Brazil,250,http://goo.gl/maps/W4kDo,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b3590108
70,LOTE3,29/01/2015,ZONA NORTE,Pirituba,-23.4769068,-46.7218404,Pirituba,PRAÇA JOÃO BOLDO,Rua Comendador Feiz Zarzur  146  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/wsFZP,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6890900
76,LOTE3,03/02/2015,ZONA NORTE,Vila Maria/Vila Guilherme,-23.517556,-46.568201,Vila Maria,PRAÇA NOVO MUNDO,Praça Novo Mundo - Parque Novo Mundo  São Paulo - SP  Brasil,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/QgkPF,http://simet-publico.ceptro.br/simet-box-history/indexsimetbox.html?idCookie=c46e1f302616
100,LOTE0,03/02/2015,ZONA SUL,Campo Limpo,-23.6166096,-46.7268901,Vila Andrade,CAMPO DO PALMEIRINHA - PARAISÓPOLIS,R. Melchior Giola  157 - Paraisópolis  Vila Andrade São Paulo  05664-000,SP,São Paulo,Brasil,Brazil,150,http://goo.gl/maps/mtbOu,http://simet-publico.ceptro.br/simet-box-history/indexsimetbox.html?idCookie=0418D6955662
77,LOTE3,24/02/2015,ZONA NORTE,Vila Maria/Vila Guilherme,-23.489451,-46.574074,Vila Medeiros,PRAÇA LOURENÇO DE BELLIS,Av. João Simão de Castro  252 - Vila Medeiros São Paulo  02141-000,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/6xk2K,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6954E52
78,LOTE3,26/02/2015,ZONA NORTE,Sé,-23.5213307,-46.6304911,Bom Retiro,PARQUE TIETÊ,Av. santos dumont 843 - Bom Retiro,SP,São Paulo,Brasil,Brazil,250,http://goo.gl/wD7mvV,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D69554AD
117,LOTE0,27/03/2015,ZONA SUL,Parelheiros,-23.880290,-46.741991,Marsilac,PRAÇA JOÃO ADÃO E PRAÇA JACÓ REIMBERG FILHO,Estrada Eng. Marsilac  s/n  Parelheiros São Paulo  04893-040 ?,SP,São Paulo,Brasil,Brazil,50,https://goo.gl/maps/FFWl8,http://simet-publico.ceptro.br/simet-box-history/indexsimetbox.html?idCookie=0418D64D4226
93,LOTE4,02/04/2015,ZONA OESTE,Pinheiros,-23.5663501,-46.6945731,Pinheiros,LARGO DA BATATA,Avenida Brigadeiro Faria Lima  860  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,125,http://goo.gl/maps/iP8Ow,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D64D42BE
46,LOTE2,02/09/2015,ZONA LESTE,Itaquera,-23.565147,-46.47036,Parque do Carmo,PRAÇA AUGUSTO DOMINGUES ALVES MAIA,Rua Arcádia Paulistana  375  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/6pYaC,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=10feed391b4a
56,LOTE2,02/09/2015,ZONA LESTE,São Miguel,-23.4983387,-46.4522254,Vila Jacuí,PRAÇA FORTUNATO DA SILVEIRA / UNICSUL,Rua Vilma  222 - Vila Jacui,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/N0wDQ,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=10feed391b08
3,LOTE1,02/09/2015,CENTRO,Sé,-23.5333321,-46.6351557,Bom Retiro,PARQUE DA LUZ,Praça da Luz  s/n,SP,São Paulo,Brasil,Brazil,250,http://goo.gl/maps/1VJXs,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=10feed391bea
115,LOTE0,03/09/2015,ZONA SUL,Parelheiros,-23.867125,-46.652751,Parelheiros,ALDEIA TENONDE-PORÃ,Estrada João Lang  s/nº,SP,São Paulo,Brasil,Brazil,50,https://goo.gl/maps/EJYrE,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D69550DB
108,LOTE0,03/09/2015,ZONA SUL,Ipiranga,-23.6225029,-46.591599,Sacomã,CENTRO DE CONVIVÊNCIA EDUCATIVO E CULTURAL DE HELIÓPOLIS,Estrada das Lágrimas  2385 - São João Clímaco  CEP: 04232-000 São Paulo/SP,SP,São Paulo,Brasil,Brazil,125,https://goo.gl/maps/tbrm0,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D69553D7
67,LOTE3,01/12/2015,ZONA NORTE,Perus,-23.428841,-46.7947174,Anhanguera,PRAÇA DA CULTURA,Rua Alberto Gentili  431  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/ZrTiR,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D68908F8
116,LOTE0,01/12/2015,ZONA SUL,Parelheiros,-23.828284,-46.731167,Parelheiros,PRAÇA JÚLIO CÉSAR DE CAMPOS,Estr. Eng. Marcilac  13 - Parelheiros São Paulo  04893-000,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/iVBmQ,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D68902BC
